Date	Open	High	Low	Close	Volume	Market Cap
2018-01-08	0.999329	0.999329	0.764328	0.899002	264,461,000	25,909,700,000
2018-01-07	1.02	1.04	0.991391	1.01	226,067,000	26,553,200,000
2018-01-06	0.997000	1.05	0.929183	1.03	297,615,000	25,849,300,000
2018-01-05	1.17	1.25	0.903503	0.999559	508,100,000	30,364,400,000
2018-01-04	1.09	1.33	1.04	1.11	593,430,000	28,364,900,000
2018-01-03	0.779681	1.09	0.778578	1.08	657,398,000	20,214,800,000
2018-01-02	0.724676	0.794646	0.697856	0.782587	289,712,000	18,788,700,000
2018-01-01	0.718847	0.730051	0.671941	0.728657	150,186,000	18,637,600,000
2017-12-31	0.642581	0.754446	0.642297	0.719695	305,947,000	16,660,300,000
2017-12-30	0.528316	0.777385	0.471556	0.639243	645,156,000	13,697,700,000
2017-12-29	0.410457	0.556879	0.403945	0.529299	266,403,000	10,642,000,000
2017-12-28	0.412020	0.418934	0.367887	0.407701	82,263,800	10,682,500,000
2017-12-27	3108.32	3108.32	2771.05	2889.52	1,406,450,000	52,461,200,000
2017-12-26	2947.74	3112.64	2915.80	3108.89	1,544,430,000	49,745,700,000
2017-12-25	2929.35	3099.62	2755.60	2954.69	1,355,440,000	49,430,800,000
2017-12-24	0.416661	0.416661	0.347039	0.390029	67,372,300	10,802,800,000
2017-12-23	0.414420	0.450368	0.392567	0.414027	88,865,000	10,744,700,000
2017-12-22	0.478974	0.478974	0.293641	0.407150	150,973,000	12,418,400,000
2017-12-21	0.490049	0.523619	0.456527	0.477851	162,926,000	12,705,500,000
2017-12-20	0.533705	0.533705	0.441621	0.486151	182,924,000	13,837,400,000
2017-12-19	0.520268	0.589589	0.501083	0.531273	279,631,000	13,489,000,000
2017-12-18	0.511939	0.526496	0.467403	0.518198	253,463,000	13,273,100,000
2017-12-17	0.386775	0.592417	0.378013	0.513011	628,143,000	10,027,900,000
2017-12-16	0.212875	0.447192	0.204233	0.404665	581,052,000	5,519,230,000
2017-12-15	0.233209	0.233209	0.187032	0.213467	207,311,000	6,046,420,000
2017-12-14	0.133667	0.240753	0.131843	0.240753	309,307,000	3,465,580,000
2017-12-13	0.133739	0.141854	0.122368	0.134281	61,575,000	3,467,460,000
2017-12-12	0.121177	0.138008	0.114222	0.133891	60,056,800	3,141,770,000
2017-12-11	0.108927	0.121383	0.108638	0.121383	39,513,900	2,824,170,000
2017-12-10	0.119794	0.119794	0.100133	0.110281	46,376,600	3,105,910,000
2017-12-09	0.114745	0.138660	0.113561	0.119609	63,308,600	2,974,990,000
2017-12-08	0.106142	0.120726	0.099136	0.115465	70,092,400	2,751,950,000
2017-12-07	0.117766	0.124176	0.105501	0.105501	71,024,600	3,053,330,000
2017-12-06	0.126748	0.132855	0.113886	0.117839	75,688,800	3,286,200,000
2017-12-05	0.135625	0.136404	0.126777	0.127488	50,381,100	3,516,360,000
2017-12-04	0.131546	0.145946	0.126350	0.135870	76,392,700	3,410,590,000
2017-12-03	0.132351	0.139220	0.124945	0.131807	46,458,900	3,431,460,000
2017-12-02	0.131633	0.138869	0.129132	0.132351	56,712,600	3,412,870,000
2017-12-01	0.116622	0.131352	0.113031	0.131352	73,657,600	3,023,680,000
2017-11-30	0.094931	0.128303	0.094931	0.119883	124,345,000	2,461,270,000
2017-11-29	0.118235	0.146906	0.081436	0.089718	210,625,000	3,065,480,000
2017-11-28	0.050626	0.131730	0.047949	0.119744	240,338,000	1,312,600,000
2017-11-27	0.036618	0.057127	0.036618	0.050593	77,777,300	949,409,000
2017-11-26	0.030437	0.039855	0.030118	0.036332	30,527,100	789,144,000
2017-11-25	0.028324	0.030447	0.027747	0.030447	6,156,460	734,370,000
2017-11-24	0.027406	0.028597	0.026963	0.028382	5,502,350	710,569,000
2017-11-23	0.028540	0.028678	0.027444	0.027444	5,132,300	739,960,000
2017-11-22	0.028399	0.029035	0.027891	0.028549	4,938,480	736,311,000
2017-11-21	0.029587	0.029709	0.027404	0.028331	5,836,790	767,098,000
2017-11-20	0.028152	0.032300	0.027612	0.029581	16,172,400	729,895,000
2017-11-19	0.026242	0.028478	0.025581	0.028084	4,725,050	680,390,000
2017-11-18	0.025597	0.027122	0.024748	0.026369	2,930,550	663,650,000
2017-11-17	0.027143	0.027436	0.025184	0.025773	3,578,870	703,728,000
2017-11-16	0.026583	0.028170	0.025654	0.027580	4,888,130	689,223,000
2017-11-15	0.026116	0.027773	0.025261	0.026445	6,858,800	677,107,000
2017-11-14	0.025797	0.026788	0.025342	0.026230	3,033,290	668,839,000
2017-11-13	0.024364	0.026300	0.023495	0.025808	4,419,440	631,690,000
2017-11-12	0.027481	0.027952	0.022591	0.023977	7,280,250	712,489,000
2017-11-11	0.026891	0.029659	0.025684	0.027437	5,532,220	697,209,000
2017-11-10	0.032219	0.033348	0.026451	0.027119	6,766,780	835,352,000
2017-11-09	0.025160	0.035060	0.025006	0.032053	18,716,200	652,327,000
2017-11-08	0.021912	0.026393	0.021660	0.025186	6,367,000	568,104,000
2017-11-07	0.021846	0.023347	0.021414	0.022195	2,539,540	566,399,000
2017-11-06	0.020977	0.023609	0.020534	0.021881	4,591,160	543,879,000
2017-11-05	0.022054	0.023006	0.020635	0.020635	2,396,230	571,799,000
2017-11-04	0.022641	0.023849	0.021970	0.022022	2,626,920	587,012,000
2017-11-03	0.021418	0.023213	0.019827	0.022628	2,836,080	555,312,000
2017-11-02	0.023079	0.024977	0.018210	0.021306	6,165,050	598,375,000
2017-11-01	0.029126	0.029219	0.022986	0.022986	9,382,780	755,165,000
2017-10-31	0.028547	0.030714	0.028075	0.030437	7,304,450	740,140,000
2017-10-30	0.028318	0.028874	0.027586	0.028583	3,781,270	734,193,000
2017-10-29	0.025831	0.029837	0.025626	0.028607	4,746,180	669,716,000
2017-10-28	0.026339	0.026853	0.025593	0.025866	1,739,460	682,882,000
2017-10-27	0.027138	0.027463	0.025674	0.026382	2,511,440	703,611,000
2017-10-26	0.027409	0.027560	0.026478	0.027132	2,437,710	710,649,000
2017-10-25	0.027038	0.027846	0.026107	0.027527	2,561,430	701,019,000
2017-10-24	0.025339	0.028956	0.023766	0.027193	7,589,560	656,966,000
2017-10-23	0.027684	0.028051	0.024345	0.025454	3,517,050	717,768,000
2017-10-22	0.028565	0.028744	0.027093	0.027729	2,930,210	740,608,000
2017-10-21	0.030805	0.030805	0.027977	0.028436	5,344,520	798,697,000
2017-10-20	0.026982	0.030855	0.026612	0.030630	8,716,410	699,574,000
2017-10-19	0.026704	0.027112	0.025772	0.027032	2,897,720	692,370,000
2017-10-18	0.027219	0.027360	0.024637	0.026691	2,336,180	705,718,000
2017-10-17	0.028953	0.029628	0.025482	0.027217	7,039,900	750,659,000
2017-10-16	0.029939	0.030749	0.028577	0.028948	6,196,030	776,227,000
2017-10-15	0.032874	0.033641	0.028694	0.030049	7,104,990	852,317,000
2017-10-14	0.033876	0.038268	0.029255	0.032465	27,853,200	878,314,000
2017-10-13	0.026061	0.033816	0.025195	0.033641	15,613,600	675,684,000
2017-10-12	0.022538	0.026763	0.021825	0.026252	8,680,640	584,358,000
2017-10-11	0.021480	0.022576	0.020976	0.022520	3,606,720	556,914,000
2017-10-10	0.022112	0.022446	0.021279	0.021531	2,725,600	573,302,000
2017-10-09	0.020344	0.022807	0.020342	0.022114	4,663,310	527,469,000
2017-10-08	0.020929	0.023598	0.020147	0.020477	7,727,460	542,638,000
2017-10-07	0.018414	0.021050	0.017620	0.020941	7,411,240	477,417,000
2017-10-06	0.021359	0.021542	0.018360	0.018539	7,780,710	553,774,000
2017-10-05	0.021951	0.022154	0.020859	0.021489	5,562,510	569,134,000
2017-10-04	0.020864	0.022806	0.020864	0.021931	9,000,050	540,946,000
2017-10-03	0.025757	0.027425	0.020690	0.020816	16,997,800	624,651,000
2017-10-02	0.024607	0.030088	0.019969	0.025932	57,641,300	-
2017-10-01	0.021678	0.032226	0.017354	0.024969	50,068,700	-
